"RetentionTime","TIC","Mass","Intensity"
343.42398,11865,44,11865.82
343.67898,11764,44,11764.62
343.935,11732,44,11732.12
344.19,11770,44,11770.81
344.445,11801,44,11801.05
344.70102,11762,44,11762.07
344.95602,11770,44,11770.79
345.21198,11978,44,11978.16
345.46698,12111,44,12111.31
345.72198,11946,44,11946.85
345.978,11825,44,11825.09
346.233,11871,44,11871.12
346.48902,11788,44,11788.11
346.74402,11531,44,11531.09
346.99902,11385,44,11385.95
347.25498,11540,44,11540.17
347.50998,11791,44,11791.09
347.766,11740,44,11740.8
348.021,11426,44,11426.77
348.276,11326,44,11326.4
348.53202,11541,44,11541.96
348.78702,11623,44,11623.85
349.04298,11367,44,11367.84
349.29798,11041,44,11041.11
349.55298,10918,44,10918.38
349.809,11105,44,11105.32
350.064,11366,44,11366.29
350.32002,11390,44,11390.23
350.57502,11405,44,11405.29
350.83098,11650,44,11650.44
351.08598,11776,44,11776.27
351.34098,11589,44,11589.06
351.597,11411,44,11411.84
351.852,11393,44,11393.18
352.107,11314,44,11314.06
352.36302,11135,44,11135.23
352.61802,11074,44,11074.56
352.87398,11213,44,11213.38
353.12898,11512,44,11512.29
353.385,11809,44,11809.3
353.64,11729,44,11729.44
353.895,11280,44,11280.37
354.15102,11016,44,11016.07
354.40602,11303,44,11303.79
354.66198,11856,44,11856.9
354.91698,12005,44,12006
355.17198,11694,44,11694.99
355.428,11520,44,11520.22
355.683,11512,44,11512.87
355.93902,11360,44,11360.33
356.19402,11265,44,11265.37
356.44902,11421,44,11421
356.70498,11676,44,11676.37
356.95998,11850,44,11850.16
357.216,11920,44,11920.48
357.471,12074,44,12074.48
357.726,12304,44,12304.06
357.98202,12259,44,12259.16
358.23702,11992,44,11992.33
358.49298,11905,44,11905.17
358.74798,11893,44,11893.16
359.00298,11773,44,11773.48
359.259,11773,44,11773.66
359.514,11837,44,11837.24
359.77002,11735,44,11735.31
360.02502,11615,44,11615.5
360.28002,11627,44,11627.23
360.53598,11683,44,11683.59
360.79098,11609,44,11609.69
361.047,11387,44,11387.55
361.302,11216,44,11216.05
361.557,11209,44,11209.69
361.81302,11439,44,11439.85
362.06802,11810,44,11810.59
362.32398,11942,44,11942.96
362.57898,11833,44,11833.74
362.83398,11780,44,11780.71
363.09,11760,44,11760.03
363.345,11696,44,11696.83
363.60102,11747,44,11747.97
363.85602,11933,44,11933.17
364.11102,11937,44,11937.95
364.36698,11675,44,11675.31
364.62198,11552,44,11552.67
364.878,11715,44,11715.22
365.133,11834,44,11834.1
365.388,11751,44,11751.58
365.64402,11603,44,11603.38
365.89902,11524,44,11524.29
366.15498,11558,44,11558.73
366.40998,11710,44,11710.35
366.66498,11942,44,11942.77
366.921,12071,44,12071.86
367.176,11935,44,11935.7
367.43202,11740,44,11740.36
367.68702,11753,44,11753.89
367.94202,11853,44,11853.55
368.19798,11877,44,11877.8
368.45298,11891,44,11891.23
368.709,11863,44,11863.46
368.964,11687,44,11687.86
369.219,11520,44,11520.73
369.47502,11498,44,11498.26
369.73002,11444,44,11444.74
369.98598,11375,44,11375.09
370.24098,11478,44,11478.23
370.49598,11607,44,11607.19
370.752,11589,44,11589.66
371.007,11531,44,11531.77
371.26302,11519,44,11519.96
371.51802,11495,44,11495.98
371.77302,11413,44,11413.88
372.02898,11416,44,11416.75
372.28398,11614,44,11614.07
372.54,11935,44,11935.74
372.795,12331,44,12331.76
373.05,12540,44,12540.08
373.30602,12232,44,12232.7
373.56102,11649,44,11649.43
373.81602,11310,44,11310.94
374.07198,11384,44,11384.29
374.32698,11703,44,11703.56
374.583,12029,44,12029.96
374.838,12196,44,12196.69
