Label,Lngx,Laty,Continent,ID
Zwijndrecht Belgium,4.33,51.22,Europe,Zwijndrecht Belgium
Kunming China,102.7,25.05,Asia,Kunming China
Zhenjiang China,119.43,32.22,Asia,Zhenjiang China
Sydney Australia,151.21,-33.87,Oceania,Sydney Australia
Kidderminster UK,-2.27,52.4,Europe,Kidderminster UK
Fareham UK,-1.19,50.85,Europe,Fareham UK
Ikeda Japan,136.57,35.44,Asia,Ikeda Japan
Kira Japan,137.07,34.8,Asia,Kira Japan
Tucson USA,-110.89,32.2,Americas,Tucson USA
Madrid Spain,-3.71,40.42,Europe,Madrid Spain
Portsmouth USA,-76.36,36.86,Americas,Portsmouth USA
Portsmouth UK,-1.09,50.81,Europe,Portsmouth UK
Waltham USA,-71.24,42.39,Americas,Waltham USA
Kandi India,88.03,23.95,Asia,Kandi India
Pueblo USA,-104.62,38.27,Americas,Pueblo USA
Columbus USA,-84.87,32.51,Americas,Columbus USA
Campinas Brazil,-47.08,-22.91,Americas,Campinas Brazil
Miyazaki Japan,131.42,31.91,Asia,Miyazaki Japan
Modena Italy,10.92,44.65,Europe,Modena Italy
Crewe UK,-2.45,53.08,Europe,Crewe UK
Padova Italy,11.87,45.41,Europe,Padova Italy
Pasadena USA,-95.15,29.66,Americas,Pasadena USA
Uppsala Sweden,17.64,59.86,Europe,Uppsala Sweden
Huntsville USA,-86.63,34.71,Americas,Huntsville USA
Snezhinsk Russia,60.73,56.09,Europe,Snezhinsk Russia
Chelyabinsk Russia,61.43,55.15,Europe,Chelyabinsk Russia
Vsevolozhsk Russia,30.68,60.02,Europe,Vsevolozhsk Russia
Leningradskaya Russia,39.39,46.31,Europe,Leningradskaya Russia
Lexington USA,-84.46,38.04,Americas,Lexington USA
Suez Egypt,32.54,29.98,Africa,Suez Egypt
Kemerovo Russia,86.08,55.33,Europe,Kemerovo Russia
Eggenstein-Leopoldshafen Germany,8.38,49.09,Europe,Eggenstein-Leopoldshafen Germany
Trondheim Norway,10.4,63.44,Europe,Trondheim Norway
Leoben Austria,15.09,47.38,Europe,Leoben Austria
Jammu India,74.85,32.71,Asia,Jammu India
Durham USA,-78.91,35.98,Americas,Durham USA
Yavne Israel,34.74,31.87,Asia,Yavne Israel
Arpajon France,2.25,48.58,Europe,Arpajon France
Sosnowiec Poland,19.12,50.28,Europe,Sosnowiec Poland
